Algorithm,Configuration,Alpha,Beta,Gamma,Precision,Recall,F1,NDCG,Average Rating,Diversity,Average Distance (km),Runtime (ms)
OLD,Original,,,,0.9333333333333332,0.11994292873051227,0.19870087384555726,0.7679414159975188,4.363333333333333,0.026453486551892873,40.99036023973366,4.285750000000007
TDMC,Distance Emphasis,0.2,0.3,0.5,0.9833333333333334,0.13332173348181145,0.22047572993413886,0.7432136001327425,4.505,0.20749640016595725,13.400936052016348,19.440400000000107
