Province,K,TDMC Experiment,Alpha,Beta,Gamma,OLD Precision,TDMC Precision,OLD Recall,TDMC Recall,OLD F1,TDMC F1,OLD NDCG,TDMC NDCG,OLD Average Rating,TDMC Average Rating,OLD Diversity,TDMC Diversity,OLD Average Distance,TDMC Average Distance,OLD Runtime,TDMC Runtime
กำแพงเพชร,5,Distance Emphasis,0.2,0.3,0.5,0.8,1.0,0.125,0.15625,0.21621621621621623,0.2702702702702703,0.7110977587696724,0.6722261025494273,3.7600000000000002,4.4,0.01702915689746476,0.22563863764663583,24.93598044606271,13.980239012437597,0.12440000000060536,2.2402000000001863
กำแพงเพชร,10,Distance Emphasis,0.2,0.3,0.5,0.9,1.0,0.28125,0.3125,0.4285714285714286,0.47619047619047616,0.7685789500106218,0.8717534513794231,4.130000000000001,4.61,0.05748531802283674,0.2377220357826968,25.32407133054215,9.075436400412539,0.20349999999962165,17.395400000000336
นครสวรรค์,5,Distance Emphasis,0.2,0.3,0.5,1.0,1.0,0.1,0.1,0.18181818181818182,0.18181818181818182,0.760834020826585,0.6692079352257412,4.54,4.4,0.0,0.0999945588850073,53.03964225049914,13.325630601634254,0.14570000000003347,5.070799999999963
นครสวรรค์,10,Distance Emphasis,0.2,0.3,0.5,0.9,1.0,0.18,0.2,0.3,0.33333333333333337,0.7501871415323775,0.7621894148957765,4.379999999999999,4.51,0.08420644439105573,0.06894558772397785,47.690125244972094,3.856648643177125,0.1354999999998654,17.74890000000005
เชียงใหม่,5,Distance Emphasis,0.2,0.3,0.5,1.0,1.0,0.011135857461024499,0.011135857461024499,0.02202643171806167,0.02202643171806167,0.8233534198594347,0.7965869485696517,4.720000000000001,4.62,0.0,0.32869921703395055,34.78706381388423,17.788284167646726,22.347299999999905,31.95550000000003
เชียงใหม่,10,Distance Emphasis,0.2,0.3,0.5,1.0,0.9,0.022271714922048998,0.0200445434298441,0.04357298474945533,0.0392156862745098,0.7935972049864216,0.6873177481764355,4.65,4.49,0.0,0.2839783639234751,60.16527835244163,22.379377486789856,2.758100000000013,42.23160000000007
