Province,K,OLD Precision,TDMC Precision,Improvement Precision,Improvement % Precision,OLD Recall,TDMC Recall,Improvement Recall,Improvement % Recall,OLD F1,TDMC F1,Improvement F1,Improvement % F1,OLD NDCG@K,TDMC NDCG@K,Improvement NDCG@K,Improvement % NDCG@K,OLD Average Rating,TDMC Average Rating,Improvement Average Rating,Improvement % Average Rating,OLD Diversity,TDMC Diversity,Improvement Diversity,Improvement % Diversity,OLD Average Distance,TDMC Average Distance,Improvement Average Distance,Improvement % Average Distance,OLD Runtime,TDMC Runtime,Improvement Runtime,Improvement % Runtime
กำแพงเพชร,5,0.8,1.0,0.19999999999999996,24.999999999999993,0.125,0.15625,0.03125,25.0,0.21621621621621623,0.2702702702702703,0.05405405405405406,25.0,0.7110977587696724,0.6722261025494273,-0.03887165622024513,-5.466429297639768,3.7600000000000002,4.4,0.6400000000000001,17.021276595744684,0.01702915689746476,0.22563863764663583,0.20860948074917107,1225.013557660204,24.93598044606271,13.980239012437597,-10.955741433625114,-43.93547491474305,0.12440000000060536,2.2402000000001863,2.115799999999581,1700.8038585122868
กำแพงเพชร,10,0.9,1.0,0.09999999999999998,11.111111111111107,0.28125,0.3125,0.03125,11.11111111111111,0.4285714285714286,0.47619047619047616,0.04761904761904756,11.111111111111097,0.7685789500106218,0.8717534513794231,0.10317450136880124,13.424060256578112,4.130000000000001,4.61,0.47999999999999954,11.622276029055676,0.05748531802283674,0.2377220357826968,0.18023671775986005,313.53521900715384,25.32407133054215,9.075436400412539,-16.24863493012961,-64.16280667529519,0.20349999999962165,17.395400000000336,17.191900000000714,8448.108108124165
นครสวรรค์,5,1.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.760834020826585,0.6692079352257412,-0.09162608560084384,-12.0428481236025,4.54,4.4,-0.13999999999999968,-3.0837004405286272,0.0,0.0999945588850073,0.0999945588850073,0.0,53.03964225049914,13.325630601634254,-39.71401164886489,-74.87609260503855,0.14570000000003347,5.070799999999963,4.925099999999929,3380.30199039039
นครสวรรค์,10,0.9,1.0,0.09999999999999998,11.111111111111107,0.18,0.2,0.020000000000000018,11.111111111111121,0.3,0.33333333333333337,0.03333333333333338,11.111111111111127,0.7501871415323775,0.7621894148957765,0.012002273363398985,1.5999039038289056,4.379999999999999,4.51,0.13000000000000078,2.9680365296803837,0.08420644439105573,0.06894558772397785,-0.015260856667077882,-18.12314577279416,47.690125244972094,3.856648643177125,-43.83347660179497,-91.91310858722534,0.1354999999998654,17.74890000000005,17.613400000000183,12998.81918820493
เชียงใหม่,5,1.0,1.0,0.0,0.0,0.011135857461024499,0.011135857461024499,0.0,0.0,0.02202643171806167,0.02202643171806167,0.0,0.0,0.8233534198594347,0.7965869485696517,-0.026766471289782934,-3.250909104665234,4.720000000000001,4.62,-0.10000000000000053,-2.1186440677966214,0.0,0.32869921703395055,0.32869921703395055,0.0,34.78706381388423,17.788284167646726,-16.998779646237505,-48.86523259675898,22.347299999999905,31.95550000000003,9.608200000000124,42.99490318741041
เชียงใหม่,10,1.0,0.9,-0.09999999999999998,-9.999999999999998,0.022271714922048998,0.0200445434298441,-0.0022271714922048984,-9.999999999999993,0.04357298474945533,0.0392156862745098,-0.00435729847494553,-9.999999999999993,0.7935972049864216,0.6873177481764355,-0.10627945680998607,-13.39211581671391,4.65,4.49,-0.16000000000000014,-3.440860215053766,0.0,0.2839783639234751,0.2839783639234751,0.0,60.16527835244163,22.379377486789856,-37.785900865651776,-62.80350045803178,2.758100000000013,42.23160000000007,39.47350000000006,1431.184511076461
