Metric,OLD,TDMC,Absolute Improvement,Improvement (%)
Precision,0.9333333333333332,0.9833333333333334,0.050000000000000155,5.3571428571428745
Recall,0.11994292873051227,0.13332173348181145,0.013378804751299184,11.154308880816707
F1,0.19870087384555726,0.22047572993413886,0.021774856088581596,10.958611136006565
NDCG@K,0.7679414159975188,0.7432136001327425,-0.024727815864776237,-3.220013317377342
Average Rating,4.363333333333333,4.505,0.1416666666666666,3.246753246753246
Diversity,0.026453486551892873,0.20749640016595725,0.18104291361406438,684.3820502031703
Average Distance,40.99036023973366,13.400936052016348,-27.589424187717313,-67.30710349057566
Runtime,4.285750000000007,19.440400000000107,15.1546500000001,353.60555328705766
