Configuration,Alpha,Beta,Gamma,Metric,OLD,TDMC,Improvement,Improvement (%)
Distance Emphasis,0.2,0.3,0.5,Precision,0.9601455026455026,0.9887962962962963,0.028650793650793704,2.9840054004160583
Distance Emphasis,0.2,0.3,0.5,Recall,0.09008314773570901,0.09781876391982186,0.007735616184112851,8.587195694813014
Distance Emphasis,0.2,0.3,0.5,F1,0.15378747880948263,0.16645933315212894,0.01267185434264631,8.239847899675015
Distance Emphasis,0.2,0.3,0.5,NDCG@K,0.7704796055218041,0.7413193027602225,-0.029160302761581547,-3.7846949552717697
Distance Emphasis,0.2,0.3,0.5,Average Rating,4.445166666666667,4.5287711640211645,0.08360449735449738,1.8807955611974962
Distance Emphasis,0.2,0.3,0.5,Diversity,0.016212161315290522,0.1897391810305338,0.17352701971524329,1070.3509318747097
Distance Emphasis,0.2,0.3,0.5,Average Distance,36.9136078792152,11.742220946669047,25.171386932546152,68.18999382262851
Distance Emphasis,0.2,0.3,0.5,Runtime,1.6414833333336598,23.30839666666707,-21.666913333333408,-1319.959386327149
