province,k,old_precision,tdmc_precision,improvement_precision,improvement_pct_precision,old_recall,tdmc_recall,improvement_recall,improvement_pct_recall,old_f1,tdmc_f1,improvement_f1,improvement_pct_f1,old_ndcg,tdmc_ndcg,improvement_ndcg,improvement_pct_ndcg,old_averageRating,tdmc_averageRating,improvement_averageRating,improvement_pct_averageRating,old_diversity,tdmc_diversity,improvement_diversity,improvement_pct_diversity,old_avgDistance,tdmc_avgDistance,improvement_avgDistance,improvement_pct_avgDistance,old_runtime,tdmc_runtime,improvement_runtime,improvement_pct_runtime
กำแพงเพชร,1,1.0,1.0,0.0,0.0,0.03125,0.03125,0.0,0.0,0.06060606060606061,0.06060606060606061,0.0,0.0,0.7500472601343988,0.8061960220451464,0.05614876191074758,7.486029867062836,4.6,4.7,0.10000000000000053,2.1739130434782727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11640000000261352,2.6287000000011176,-2.512299999998504,-2158.333333283587
กำแพงเพชร,2,1.0,1.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.11764705882352941,0.11764705882352941,0.0,0.0,0.7717685663023154,0.6599906836943281,-0.11177788260798727,-14.483342220522868,4.65,4.449999999999999,-0.20000000000000107,-4.301075268817227,0.0,0.0,0.0,0.0,21.753482264648504,8.675711711931305,13.0777705527172,60.11805555366109,1.235899999999674,1.4855999999999767,-0.24970000000030268,-20.203899991938552
กำแพงเพชร,3,1.0,1.0,0.0,0.0,0.09375,0.09375,0.0,0.0,0.17142857142857143,0.17142857142857143,0.0,0.0,0.7668172063252355,0.6278487517673629,-0.13896845455787266,-18.122761645352412,4.6000000000000005,4.366666666666666,-0.23333333333333428,-5.072463768115962,0.0,0.09458911311931129,0.09458911311931129,0.0,21.524326743873008,10.478652921087408,11.0456738227856,51.31716292092526,0.3702000000012049,2.8025999999990745,-2.4323999999978696,-657.0502431091174
กำแพงเพชร,4,0.75,1.0,0.25,33.33333333333333,0.09375,0.125,0.03125,33.33333333333333,0.16666666666666666,0.2222222222222222,0.05555555555555555,33.33333333333333,0.6509552106794488,0.6340533780785823,-0.01690183260086653,-2.596466288859547,3.45,4.35,0.8999999999999995,26.08695652173911,0.02128644612183095,0.11713590829660692,0.09584946217477597,450.2840052594533,22.62413249572979,10.419152609577404,12.204979886152385,53.94673094518,0.1371999999973923,3.126799999998184,-2.9896000000007916,-2179.0087463976774
กำแพงเพชร,5,0.8,1.0,0.19999999999999996,24.999999999999993,0.125,0.15625,0.03125,25.0,0.21621621621621623,0.2702702702702703,0.05405405405405406,25.0,0.7110977587696724,0.6722261025494273,-0.03887165622024513,-5.466429297639768,3.7600000000000002,4.4,0.6400000000000001,17.021276595744684,0.01702915689746476,0.22563863764663583,0.20860948074917107,1225.013557660204,24.93598044606271,13.980239012437597,10.955741433625114,43.93547491474305,0.12590000000272994,13.059699999997974,-12.933799999995244,-10273.073867922792
กำแพงเพชร,6,0.8333333333333334,1.0,0.16666666666666663,19.999999999999996,0.15625,0.1875,0.03125,20.0,0.2631578947368421,0.3157894736842105,0.05263157894736842,20.0,0.7522953009112479,0.7454057499994342,-0.006889550911813647,-0.915804060382725,3.9500000000000006,4.533333333333333,0.5833333333333326,14.767932489451455,0.02270554252995305,0.30731324717924513,0.2846077046492921,1253.472381352874,24.26259767953611,12.131906952355223,12.130690727180887,49.99749362127172,0.7539000000033411,9.262000000002445,-8.508099999999104,-1128.5448998489717
กำแพงเพชร,7,0.8571428571428571,1.0,0.1428571428571429,16.666666666666675,0.1875,0.21875,0.03125,16.666666666666664,0.30769230769230765,0.358974358974359,0.05128205128205132,16.666666666666682,0.751965378608533,0.7721434923745427,0.020178113766009753,2.6833833498223214,4.000000000000001,4.571428571428571,0.5714285714285703,14.285714285714255,0.02027280583031521,0.28580617226947225,0.26553336643915704,1309.8007678941422,26.274410168686384,11.084542333594708,15.189867835091675,57.81240278114722,0.11899999999877764,19.359599999999773,-19.240600000000995,-16168.571428738345
กำแพงเพชร,8,0.875,1.0,0.125,14.285714285714285,0.21875,0.25,0.03125,14.285714285714285,0.35,0.4,0.050000000000000044,14.285714285714299,0.7746676451633068,0.7828936213019537,0.008225976138646951,1.0618716542515265,4.1000000000000005,4.575,0.47499999999999964,11.585365853658526,0.018245525247283623,0.2482968683671506,0.23005134311986697,1260.864458556033,25.696805608100757,10.085984740170087,15.61082086793067,60.75004460091124,0.17070000000239816,16.686100000002625,-16.515400000000227,-9675.102518903457
กำแพงเพชร,9,0.8888888888888888,1.0,0.11111111111111116,12.500000000000005,0.25,0.28125,0.03125,12.5,0.3902439024390244,0.43902439024390244,0.04878048780487804,12.499999999999996,0.7730005861669398,0.8737375842274705,0.10073699806053071,13.031943295160092,4.122222222222223,4.622222222222223,0.5,12.129380053908354,0.031707639912939234,0.2574611298254734,0.2257534899125342,711.9845265443703,26.917684602474974,9.837974292681109,17.079710309793867,63.45163249376752,0.13799999999901047,21.703699999998207,-21.565699999999197,-15627.318840691183
กำแพงเพชร,10,0.9,1.0,0.09999999999999998,11.111111111111107,0.28125,0.3125,0.03125,11.11111111111111,0.4285714285714286,0.47619047619047616,0.04761904761904756,11.111111111111097,0.7685789500106218,0.8717534513794231,0.10317450136880124,13.424060256578112,4.130000000000001,4.61,0.47999999999999954,11.622276029055676,0.05748531802283674,0.2377220357826968,0.18023671775986005,313.53521900715384,25.32407133054215,9.075436400412539,16.24863493012961,64.16280667529519,0.6455999999998312,19.68449999999939,-19.038899999999558,-2949.0241635694756
